price,isOneOwner,mileage,year,displacement,trim
49.9,0,33.191,2013,4.6,7.0
29.994,0,77.745,2008,5.5,7.0
65.0,0,10.693,2012,4.6,7.0
54.999,0,14.504,2012,4.6,7.0
31.998,0,53.165,2008,5.5,7.0
69.995,0,18.415,2011,5.5,9.0
17.99,0,116.271,2007,5.5,7.0
41.5,1,50.246,2011,5.5,7.0
45.995,0,66.389,2009,6.3,9.0
25.5,0,67.239,2008,5.5,7.0
42.879,1,28.018,2010,5.5,7.0
25.599,1,81.854,2007,5.5,7.0
8.0,0,143.585,2003,4.3,4.0
9.995,0,132.527,2003,5.0,5.0
26.991,0,65.726,2007,5.5,7.0
12.995,0,127.354,2006,3.7,1.0
27.99,0,76.235,2008,5.5,7.0
55.9,0,36.105,2010,5.5,7.0
27.4,0,75.0,2007,5.5,7.0
25.977,1,73.645,2008,5.5,7.0
34.995,0,71.355,2008,5.5,7.0
35.495,0,54.106,2010,5.5,7.0
34.993,0,44.421,2008,5.5,7.0
37.9,0,66.48,2009,6.3,9.0
9.995,0,98.623,2004,4.3,4.0
20.995,0,108.323,2007,5.5,7.0
12.0,0,69.984,2001,5.8,8.0
31.995,0,88.177,2008,5.5,7.0
29.992,0,63.011,2007,5.5,7.0
6.995,0,107.249,1999,4.2,3.0
47.62,0,20.998,2012,4.6,7.0
31.99,0,82.559,2007,5.5,7.0
25.993,0,72.251,2007,5.5,7.0
63.7,0,31.533,2010,6.3,9.0
45.997,0,24.651,2008,6.3,9.0
11.981,1,88.77,2003,5.0,5.0
12.995,0,116.25,2001,5.8,8.0
38.995,0,73.523,2008,5.5,7.0
17.993,0,61.365,2005,5.0,5.0
6.995,0,107.0,2000,5.0,5.0
8.99,0,98.67,2002,4.3,4.0
11.99,0,88.603,2001,5.0,5.0
76.995,0,1.832,2013,4.6,7.0
17.995,0,38.538,2005,5.0,5.0
45.981,0,52.366,2008,6.3,9.0
30.999,0,64.18,2008,5.5,7.0
49.0,0,36.885,2012,4.6,7.0
13.5,0,77.251,2004,5.0,5.0
45.999,0,86.281,2007,6.0,10.0
26.9,0,57.5,2009,5.5,7.0
31.988,0,47.763,2010,3.5,2.0
75.211,0,10.003,2013,4.6,7.0
7.888,0,83.374,1994,4.2,3.0
47.999,1,40.548,2013,3.0,1.0
59.99,1,28.628,2013,4.6,7.0
29.998,0,79.203,2007,5.5,7.0
79.995,0,24.0,2008,6.0,10.0
18.988,0,135.689,2007,5.5,7.0
33.65,0,64.856,2007,5.5,7.0
65.75,0,9.924,2011,5.5,7.0
6.99,0,144.14,1999,3.2,0.0
45.675,0,31.894,2012,4.6,7.0
34.988,0,99.36,2007,5.5,7.0
4.995,0,162.213,2000,4.3,4.0
